id,url,manufacturer,model,rated_power_kw,rotor_diameter_m,rotor_area_m2,num_blades,hub_height_m,cut_in_wind_speed_ms,cut_out_wind_speed_ms,rated_wind_speed_ms,rotor_speed_rpm,generator_type,gearbox_type,tower_type,nacelle_weight_kg,rotor_weight_kg,tower_weight_kg,blade_weight_kg,total_weight_kg,voltage_v,frequency_hz,installation,offshore,onshore
1250,https://en.wind-turbine-models.com/turbines/1250-2-b-energy-2b6,2-B Energy,2-B Energy 2B6,6000,140.6,15526,2,95,3,,13,,Double fed induction,,full 3 leg jacket,,,,,,10000,50 Hz,,Yes,Yes
597,https://en.wind-turbine-models.com/turbines/597-aaer-a1500-70,AAER,AAER A1500-70,1500,77,3848,3,70,3,20,11.8,,Double Fed Asyn,,Steel tube,,,,,,480,60 Hz,,No,Yes
2158,https://en.wind-turbine-models.com/turbines/2158-aaer-a1500-77,AAER,AAER A1500-77,1500,77,4708,3,65,3,20,11,19,double fed induction,,steel tube,70000,33000,200000,,300000,690,50/60 Hz,,No,Yes
2159,https://en.wind-turbine-models.com/turbines/2159-aaer-a2000-71,AAER,AAER A2000-71,2000,71,3960,3,65,,,,,double fed induction,,steel tube,,,,,,690,50/60 Hz,,No,Yes
2160,https://en.wind-turbine-models.com/turbines/2160-aaer-a2000-80,AAER,AAER A2000-80,2000,80,5027,3,65,,,,,double fed induction,,steel tube,,,,,,690,50/60 Hz,,No,Yes
2161,https://en.wind-turbine-models.com/turbines/2161-aaer-a2000-84,AAER,AAER A2000-84,2000,84,5542,3,65,,,,,double fed induction,,steel tube,,,,,,690,50/60 Hz,,No,Yes
2734,https://en.wind-turbine-models.com/turbines/2734-acciona-aw-60-1300,Acciona,Acciona AW-60/1300,1300,60,2828,3,,,,,,,,,,,,,,,,2000,No,Yes
2733,https://en.wind-turbine-models.com/turbines/2733-acciona-aw-70-1300,Acciona,Acciona AW-70/1300,1300,70,3848,3,60,4,25,,22,6 poles. double feeding,,steel tower,50000,,,,,690,50/60 Hz,2002,No,Yes
777,https://en.wind-turbine-models.com/turbines/777-acciona-aw-70-1500,Acciona,Acciona AW-70/1500,1500,70,3848,3,60,4,25,11.6,20.2,Double Fed Asyn,,Steel tube,52200,15200,135000,,202400,12000,50/60 Hz,,No,Yes
778,https://en.wind-turbine-models.com/turbines/778-acciona-aw-77-1500,Acciona,Acciona AW-77/1500,1500,77,4615,3,60,3.5,25,11.1,18.3,Double Fed Asyn,,Steel tube,52300,15200,135000,,202500,12000,50/60 Hz,,No,Yes
585,https://en.wind-turbine-models.com/turbines/585-acciona-aw-82-1500,Acciona,Acciona AW-82/1500,1500,82,5289,3,80,3,20,10.5,16.7,Double Fed Asyn,,Steel tube,52300,15200,135000,,202500,12000,50/60 Hz,,No,Yes
142,https://en.wind-turbine-models.com/turbines/142-acciona-aw-100-3000,Acciona,Acciona AW-100/3000,3000,100,7854,3,100,4,25,11.7,14.2,Double Fed Asyn,,concrete,118000,66000,1100000,,1284000,12000,50/60 Hz,,No,Yes
783,https://en.wind-turbine-models.com/turbines/783-acciona-aw-109-3000,Acciona,Acciona AW-109/3000,3000,109,9331,3,100,3.5,25,11.1,13.2,Double Fed Asyn,,concrete,118000,66000,1100000,,1284000,12000,50/60 Hz,,No,Yes
784,https://en.wind-turbine-models.com/turbines/784-acciona-aw-116-3000,Acciona,Acciona AW-116/3000,3000,116,10568,3,100,3,20,10.6,12.3,Double Fed Asyn,,concrete,118000,,1100000,,,12000,50/60 Hz,,No,Yes
785,https://en.wind-turbine-models.com/turbines/785-acciona-aw-125-3000,Acciona,Acciona AW-125/3000,3000,125,12305,3,120,3.5,25,12,13.2,Double Fed Asyn,,concrete,111600,,1100000,,,12000,50/60 Hz,,No,Yes
980,https://en.wind-turbine-models.com/turbines/980-acciona-aw-132-3000,Acciona,Acciona AW-132/3000,3000,132,13720,,84,3,25,,,Double fed induction,,steel tube / *hybrid,111000,,,,,12000,50/60 Hz,,No,Yes
1740,https://en.wind-turbine-models.com/turbines/1740-acciona-aw-140-3000,Acciona,Acciona AW-140/3000,3000,140,15431,3,82,3,20,,,induction double feeding,,steel tube / hydrid,108000,,,,,12000,50/60 Hz,2018,No,Yes
2303,https://en.wind-turbine-models.com/turbines/2303-acciona-aw-148-3300,Acciona,Acciona AW-148/3300,3300,148,17203,3,120,3,20,,12.4,Doubly-fed induction machine,,concrete,,,,,,12000,50/60 Hz,,No,Yes
2423,https://en.wind-turbine-models.com/turbines/2423-acowind-a-63,Acowind,Acowind A-63,1000,56,2463,3,60,3,25,12,6.1,induction,,steel tube,40000,38000,80000,4000,158000,690,50 Hz,,No,Yes
2377,https://en.wind-turbine-models.com/turbines/2377-acsa-lmw-0-250,ACSA,ACSA LMW-0.250,0.3,1.7,2.3,3,6,3,,10,1300,Brushless permanent amgnet alternator,,steel tube Guyed tower,,,,,,24,50 Hz,,Yes,Yes
2378,https://en.wind-turbine-models.com/turbines/2378-acsa-lmw-0-600,ACSA,ACSA LMW-0.600,0.6,2.2,3.8,2,6,3,,12,1000,Brushless permanent amgnet alternator,,steel tube Guyed tower,,,,,,24,50 Hz,,Yes,Yes
2379,https://en.wind-turbine-models.com/turbines/2379-acsa-lmw-1-000,ACSA,ACSA LMW-1.000,1,3.1,7.7,3,6,2.5,,10.5,775,Brushless permanent amgnet alternator,,steel tube Guyed tower,,,,,,120,50 Hz,,Yes,Yes
2380,https://en.wind-turbine-models.com/turbines/2380-acsa-lmw-1-500,ACSA,ACSA LMW-1.500,1,3.1,7.7,3,6,2.5,,10.5,800,brushless permanenet magnet altenator,,steel tube Guyed tower,,,,,,120,50 Hz,,Yes,Yes
2381,https://en.wind-turbine-models.com/turbines/2381-acsa-lmw-2-000,ACSA,ACSA LMW-2.000,2,5,19.6,3,6,3,,10,360,brushless permanenet magnet altenator,,steel tube Guyed tower,,,,,,120,50 Hz,,Yes,Yes
2382,https://en.wind-turbine-models.com/turbines/2382-acsa-lmw-3-000,ACSA,ACSA LMW-3.000,3,5,19.6,3,6,4,,12,350,brushless permanenet magnet altenator,,steel tube Guyed tower,,,,,,120,50 Hz,,Yes,Yes
2383,https://en.wind-turbine-models.com/turbines/2383-acsa-lmw-10-000,ACSA,ACSA LMW-10.000,10,7,38.5,3,6,3,,13,350,brushless permanenet magnet altenator,,steel tube Guyed tower,,,,,,120,50 Hz,,Yes,Yes
2373,https://en.wind-turbine-models.com/turbines/2373-acsa-a17-90,ACSA,ACSA A17/90,90,17,227,3,23.4,3.3,28,16.8,50.2,induction,,lattice,,,4300,,10600,690,50 Hz,,No,Yes
2374,https://en.wind-turbine-models.com/turbines/2374-acsa-a20-100,ACSA,ACSA A20/100,100,20,314,3,24,4.5,25,13,46,induction,,steel tube,4600,1700,5600,400,11900,690,50 Hz,1990,No,Yes
817,https://en.wind-turbine-models.com/turbines/817-acsa-a27-225,ACSA,ACSA A27/225,225,27,573,3,30,3.5,25,13.5,43,Asynchronus,,Steel tube/Lattice,7900,2900,12000,,22800,400,50 Hz,,No,Yes
2376,https://en.wind-turbine-models.com/turbines/2376-acsa-a29-225,ACSA,ACSA A29/225,225,29,661,3,31.5,4,25,13,41.7,induction,,steel tube,7900,2900,12000,,22800,400,50 Hz,,No,Yes
2512,https://en.wind-turbine-models.com/turbines/2512-adani-5-2-160,Adani,Adani 5.2-160,5200,160,20106,3,120,3,20,12,,Doubly-fed induction generator (DFIG),,steel tube,,,,,,2938,50 Hz,2022,No,Yes
812,https://en.wind-turbine-models.com/turbines/812-ades-ades-60,ADES,ADES ADES 60,60,29,600,1,26.5,3.5,20,8,50,Asynchronus,,Steel tube,4700,3200,9900,,17800,690,50 Hz,,No,Yes
813,https://en.wind-turbine-models.com/turbines/813-ades-ades-100,ADES,ADES ADES 100,100,29,600,1,27.5,3.5,20,10,60,Asynchronus,,Steel tube,4800,3200,9900,,17900,690,50 Hz,,No,Yes
339,https://en.wind-turbine-models.com/turbines/339-ades-ades-200,ADES,ADES ADES 200,200,36,880,1,31,4,25,11.5,,Squirrel-cage rotor,,,11000,3600,5500,,20000,400,50 Hz,,No,Yes
814,https://en.wind-turbine-models.com/turbines/814-ades-ades-335,ADES,ADES ADES 335,335,36,880,1,36,3,25,12,55,Asynchronus,,Steel tube,9000,4000,16500,,29500,690,50 Hz,,No,Yes
173,https://en.wind-turbine-models.com/turbines/173-adolfsen-m-lle-sa-11,Adolfsen Mølle,Adolfsen Mølle SA 11,11,9,63.6,3,15,,,,,,,Lattice,,,,,,,,,No,Yes
1319,https://en.wind-turbine-models.com/turbines/1319-awt-inc-awt-26-wc-86,AWT Inc.,AWT Inc. AWT-26 / WC-86,275,26.2,539,2,24.4,5.4,24.6,17,62,synchronous,,3-side truss / tapered / guyed steel,,,,500,,480,60.0 Hz,,No,Yes
1320,https://en.wind-turbine-models.com/turbines/1320-awt-inc-awt-27,AWT Inc.,AWT Inc. AWT-27,275,27.4,589.6,2,36.6,5,23,15,53,synchronous,,steel tube/lattice,,,,,,480,60 Hz,,No,Yes
1870,https://en.wind-turbine-models.com/turbines/1870-awp-a-s-awp-90-18,AWP A/S,AWP A/S AWP 90/18,90,18.6,270,3,22.5,4,25,13,46,induction,,steel tube / lattice,2700,1800,8000,500,12500,400,50/60 Hz,,No,Yes
1872,https://en.wind-turbine-models.com/turbines/1872-awp-a-s-awp-200-23,AWP A/S,AWP A/S AWP 200/23,200,23,415,3,30,4,25,13,,induction,,steel tube / bolted lattice,5500,3500,13000,700,22000,480,50 Hz,,No,Yes
2571,https://en.wind-turbine-models.com/turbines/2571-adventure-power-ap300,Adventure Power,Adventure Power AP300,300,32,805,3,32,3.5,20,12,54,permanent magnet synchronous,,steel tube,,,,,,400,,,No,Yes
1808,https://en.wind-turbine-models.com/turbines/1808-adwen-ad-5-116,Adwen,Adwen AD 5-116,5000,116,10568,3,,4,25,12.5,14.8,synchronous permanent,,steel tube,233000,111500,,,345000,3300,50 Hz,,Yes,No
1123,https://en.wind-turbine-models.com/turbines/1123-adwen-ad-5-132,Adwen,Adwen AD 5-132,5000,132,13685,3,95,2.5,27,13.5,11.8,synchronous permanent,,steel tube,,,,,,690,50/60 Hz,,Yes,Yes
1122,https://en.wind-turbine-models.com/turbines/1122-adwen-ad-5-135,Adwen,Adwen AD 5-135,5050,135,14326,3,,3.5,30,11.4,13.5,synchronous permanent,,steel tube,230000,140000,,,,3300,50.0 Hz,,Yes,Yes
1124,https://en.wind-turbine-models.com/turbines/1124-adwen-ad-8-180,Adwen,Adwen AD 8-180,8000,180,25447,3,,3,30,12,7.5,synchronous permanent,,steel tube,550000,,,,,66000,50/60 Hz,2016,Yes,Yes
1829,https://en.wind-turbine-models.com/turbines/1829-aeolia-windtech-d2cf-200,Aeolia Windtech,Aeolia Windtech D2CF 200,200,28,650,3,40.3,3,20,10.9,46,synchronous permanent,,steel tube,,,,,,400,50 Hz,,No,Yes
